
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.316	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	umol/l	OFF	XB7-534-210	1	ON External	20.000	ON	1013	34.000	15%	400x	2	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.480	22.358	1019	100.000	20.950	53.190	22.366	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	
Data	Smoothing:	3	
Date:	2021-11-18	
			 	Oxygen				Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
2021-11-18	15:43:21	0.00		217.71	---	---	---	22.227	---	---	---	1013.39	37.380	22.227	---	---	22.721	---	---	---	314.175	---	---	---	5.511	---	---	---	
2021-11-18	15:43:22	1.00		217.87	---	---	---	22.213	---	---	---	1013.41	37.400	22.213	---	---	22.717	---	---	---	314.192	---	---	---	5.520	---	---	---	
2021-11-18	15:43:23	2.00		217.91	---	---	---	22.213	---	---	---	1013.39	37.421	22.213	---	---	22.715	---	---	---	314.192	---	---	---	5.536	---	---	---	
2021-11-18	15:43:24	3.00		218.00	---	---	---	22.206	---	---	---	1013.38	37.441	22.206	---	---	22.713	---	---	---	314.192	---	---	---	5.538	---	---	---	
2021-11-18	15:43:25	4.00		217.87	---	---	---	22.235	---	---	---	1013.39	37.441	22.235	---	---	22.711	---	---	---	314.203	---	---	---	5.529	---	---	---	
2021-11-18	15:43:26	5.00		218.02	---	---	---	22.228	---	---	---	1013.40	37.421	22.228	---	---	22.705	---	---	---	314.212	---	---	---	5.520	---	---	---	
2021-11-18	15:43:27	6.00		218.04	---	---	---	22.233	---	---	---	1013.41	37.400	22.233	---	---	22.702	---	---	---	314.244	---	---	---	5.533	---	---	---	
2021-11-18	15:43:28	7.00		218.05	---	---	---	22.219	---	---	---	1013.43	37.380	22.219	---	---	22.706	---	---	---	314.220	---	---	---	5.535	---	---	---	
2021-11-18	15:43:29	8.00		217.82	---	---	---	22.226	---	---	---	1013.43	37.380	22.226	---	---	22.716	---	---	---	314.230	---	---	---	5.533	---	---	---	
2021-11-18	15:43:30	9.00		217.69	---	---	---	22.227	---	---	---	1013.46	37.380	22.227	---	---	22.723	---	---	---	314.228	---	---	---	5.509	---	---	---	
2021-11-18	15:43:31	10.00		217.74	---	---	---	22.226	---	---	---	1013.42	37.380	22.226	---	---	22.720	---	---	---	314.241	---	---	---	5.516	---	---	---	
2021-11-18	15:43:32	11.00		217.89	---	---	---	22.220	---	---	---	1013.41	37.380	22.220	---	---	22.714	---	---	---	314.241	---	---	---	5.516	---	---	---	
2021-11-18	15:43:33	12.00		218.16	---	---	---	22.213	---	---	---	1013.38	37.385	22.213	---	---	22.702	---	---	---	314.241	---	---	---	5.527	---	---	---	
2021-11-18	15:43:34	13.00		218.16	---	---	---	22.228	---	---	---	1013.39	37.385	22.228	---	---	22.697	---	---	---	314.243	---	---	---	5.525	---	---	---	
