
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.316	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	umol/l	OFF	XB7-534-211	1	ON External	20.000	ON	1013	34.000	15%	400x	2	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	-0.200	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.272	22.106	1003	100.000	20.950	53.391	22.874	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.200	
Data	Smoothing:	3	
Date:	2021-11-23	
			 	Oxygen				Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
2021-11-23	13:38:19	0.00		211.03	---	---	---	22.305	---	---	---	1001.06	27.744	22.305	---	---	23.365	---	---	---	271.502	---	---	---	5.516	---	---	---	
2021-11-23	13:38:20	1.00		211.02	---	---	---	22.285	---	---	---	1001.08	27.744	22.285	---	---	23.371	---	---	---	271.511	---	---	---	5.511	---	---	---	
2021-11-23	13:38:21	2.00		210.92	---	---	---	22.313	---	---	---	1001.08	27.744	22.313	---	---	23.368	---	---	---	271.486	---	---	---	5.510	---	---	---	
2021-11-23	13:38:22	3.00		211.12	---	---	---	22.279	---	---	---	1001.08	27.744	22.279	---	---	23.368	---	---	---	271.495	---	---	---	5.502	---	---	---	
2021-11-23	13:38:23	4.00		211.12	---	---	---	22.265	---	---	---	1001.10	27.744	22.265	---	---	23.372	---	---	---	271.482	---	---	---	5.512	---	---	---	
2021-11-23	13:38:24	5.00		210.68	---	---	---	22.316	---	---	---	1001.11	27.744	22.316	---	---	23.381	---	---	---	271.523	---	---	---	5.512	---	---	---	
2021-11-23	13:38:25	6.00		210.12	---	---	---	22.392	---	---	---	1001.10	27.744	22.392	---	---	23.389	---	---	---	271.538	---	---	---	5.517	---	---	---	
2021-11-23	13:38:26	7.00		210.16	---	---	---	22.369	---	---	---	1001.08	27.744	22.369	---	---	23.394	---	---	---	271.513	---	---	---	5.513	---	---	---	
2021-11-23	13:38:27	8.00		210.63	---	---	---	22.282	---	---	---	1001.06	27.744	22.282	---	---	23.394	---	---	---	271.536	---	---	---	5.513	---	---	---	
2021-11-23	13:38:28	9.00		210.68	---	---	---	22.270	---	---	---	1001.06	27.744	22.270	---	---	23.395	---	---	---	271.558	---	---	---	5.526	---	---	---	
2021-11-23	13:38:29	10.00		210.63	---	---	---	22.322	---	---	---	1001.06	27.744	22.322	---	---	23.381	---	---	---	271.600	---	---	---	5.527	---	---	---	
