
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.316	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	umol/l	OFF	XB7-534-209	1	ON External	20.000	ON	1013	32.000	15%	400x	2	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	-0.200	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	20.167	20.834	1019	100.000	20.950	53.346	22.729	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.200	
Data	Smoothing:	3	
Date:	2024-04-29	
			 	Oxygen				Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
2024-04-29	12:49:47	0.00		31.432	---	---	---	22.543	---	---	---	1011.19	35.442	22.543	---	---	43.956	---	---	---	607.685	---	---	---	5.538	---	---	---	
2024-04-29	12:49:48	1.00		31.444	---	---	---	22.537	---	---	---	1011.20	35.445	22.537	---	---	43.954	---	---	---	607.659	---	---	---	5.542	---	---	---	
2024-04-29	12:49:49	2.00		31.458	---	---	---	22.532	---	---	---	1011.17	35.455	22.532	---	---	43.952	---	---	---	607.596	---	---	---	5.538	---	---	---	
2024-04-29	12:49:50	3.00		31.453	---	---	---	22.531	---	---	---	1011.18	35.466	22.531	---	---	43.953	---	---	---	607.499	---	---	---	5.527	---	---	---	
2024-04-29	12:49:51	4.00		31.479	---	---	---	22.510	---	---	---	1011.13	35.466	22.510	---	---	43.951	---	---	---	607.494	---	---	---	5.530	---	---	---	
2024-04-29	12:49:52	5.00		31.494	---	---	---	22.509	---	---	---	1011.12	35.473	22.509	---	---	43.948	---	---	---	607.520	---	---	---	5.535	---	---	---	
2024-04-29	12:49:53	6.00		31.507	---	---	---	22.489	---	---	---	1011.12	35.473	22.489	---	---	43.949	---	---	---	607.576	---	---	---	5.547	---	---	---	
2024-04-29	12:49:54	7.00		31.506	---	---	---	22.483	---	---	---	1011.11	35.463	22.483	---	---	43.950	---	---	---	607.517	---	---	---	5.547	---	---	---	
2024-04-29	12:49:55	8.00		31.490	---	---	---	22.476	---	---	---	1011.12	35.445	22.476	---	---	43.956	---	---	---	607.514	---	---	---	5.544	---	---	---	
2024-04-29	12:49:56	9.00		31.484	---	---	---	22.491	---	---	---	1011.11	35.435	22.491	---	---	43.954	---	---	---	607.517	---	---	---	5.543	---	---	---	
2024-04-29	12:49:57	10.00		31.496	---	---	---	22.502	---	---	---	1011.12	35.435	22.502	---	---	43.949	---	---	---	607.570	---	---	---	5.533	---	---	---	
2024-04-29	12:49:58	11.00		31.515	---	---	---	22.495	---	---	---	1011.14	35.430	22.495	---	---	43.946	---	---	---	607.539	---	---	---	5.529	---	---	---	
2024-04-29	12:49:59	12.00		31.525	---	---	---	22.493	---	---	---	1011.17	35.412	22.493	---	---	43.944	---	---	---	607.481	---	---	---	5.518	---	---	---	
2024-04-29	12:50:00	13.00		31.525	---	---	---	22.501	---	---	---	1011.15	35.402	22.501	---	---	43.942	---	---	---	607.437	---	---	---	5.525	---	---	---	
2024-04-29	12:50:01	14.00		31.494	---	---	---	22.522	---	---	---	1011.13	35.397	22.522	---	---	43.945	---	---	---	607.467	---	---	---	5.529	---	---	---	
2024-04-29	12:50:02	15.00		31.484	---	---	---	22.528	---	---	---	1011.13	35.397	22.528	---	---	43.946	---	---	---	607.476	---	---	---	5.535	---	---	---	
2024-04-29	12:50:03	16.00		31.473	---	---	---	22.529	---	---	---	1011.16	35.392	22.529	---	---	43.949	---	---	---	607.507	---	---	---	5.538	---	---	---	
2024-04-29	12:50:04	17.00		31.500	---	---	---	22.508	---	---	---	1011.17	35.386	22.508	---	---	43.947	---	---	---	607.482	---	---	---	5.550	---	---	---	
2024-04-29	12:50:05	18.00		31.539	---	---	---	22.486	---	---	---	1011.19	35.373	22.486	---	---	43.942	---	---	---	607.425	---	---	---	5.531	---	---	---	
2024-04-29	12:50:06	19.00		31.554	---	---	---	22.474	---	---	---	1011.19	35.373	22.474	---	---	43.941	---	---	---	607.385	---	---	---	5.532	---	---	---	
2024-04-29	12:50:07	20.00		31.528	---	---	---	22.503	---	---	---	1011.21	35.373	22.503	---	---	43.941	---	---	---	607.386	---	---	---	5.526	---	---	---	
2024-04-29	12:50:08	21.00		31.506	---	---	---	22.518	---	---	---	1011.21	35.373	22.518	---	---	43.943	---	---	---	607.468	---	---	---	5.545	---	---	---	
2024-04-29	12:50:09	22.00		31.489	---	---	---	22.522	---	---	---	1011.21	35.366	22.522	---	---	43.946	---	---	---	607.429	---	---	---	5.535	---	---	---	
2024-04-29	12:50:10	23.00		31.538	---	---	---	22.508	---	---	---	1011.19	35.358	22.508	---	---	43.937	---	---	---	607.410	---	---	---	5.533	---	---	---	
2024-04-29	12:50:11	24.00		31.534	---	---	---	22.501	---	---	---	1011.17	35.358	22.501	---	---	43.940	---	---	---	607.343	---	---	---	5.518	---	---	---	
2024-04-29	12:50:12	25.00		31.504	---	---	---	22.540	---	---	---	1011.13	35.358	22.540	---	---	43.939	---	---	---	607.335	---	---	---	5.523	---	---	---	
2024-04-29	12:50:13	26.00		31.488	---	---	---	22.537	---	---	---	1011.12	35.366	22.537	---	---	43.943	---	---	---	607.315	---	---	---	5.511	---	---	---	
2024-04-29	12:50:14	27.00		31.461	---	---	---	22.558	---	---	---	1011.12	35.373	22.558	---	---	43.945	---	---	---	607.343	---	---	---	5.510	---	---	---	
2024-04-29	12:50:15	28.00		31.521	---	---	---	22.513	---	---	---	1011.17	35.358	22.513	---	---	43.940	---	---	---	607.335	---	---	---	5.501	---	---	---	
2024-04-29	12:50:16	29.00		31.507	---	---	---	22.515	---	---	---	1011.20	35.336	22.515	---	---	43.943	---	---	---	607.349	---	---	---	5.508	---	---	---	
2024-04-29	12:50:17	30.00		31.542	---	---	---	22.494	---	---	---	1011.23	35.313	22.494	---	---	43.939	---	---	---	607.267	---	---	---	5.528	---	---	---	
2024-04-29	12:50:18	31.00		31.530	---	---	---	22.500	---	---	---	1011.22	35.313	22.500	---	---	43.941	---	---	---	607.267	---	---	---	5.539	---	---	---	
2024-04-29	12:50:19	32.00		31.539	---	---	---	22.499	---	---	---	1011.22	35.313	22.499	---	---	43.939	---	---	---	607.236	---	---	---	5.538	---	---	---	
2024-04-29	12:50:20	33.00		31.544	---	---	---	22.499	---	---	---	1011.19	35.313	22.499	---	---	43.938	---	---	---	607.254	---	---	---	5.518	---	---	---	
2024-04-29	12:50:21	34.00		31.553	---	---	---	22.523	---	---	---	1011.21	35.313	22.523	---	---	43.931	---	---	---	607.240	---	---	---	5.525	---	---	---	
2024-04-29	12:50:22	35.00		31.550	---	---	---	22.521	---	---	---	1011.18	35.313	22.521	---	---	43.932	---	---	---	607.222	---	---	---	5.536	---	---	---	
2024-04-29	12:50:23	36.00		31.569	---	---	---	22.521	---	---	---	1011.16	35.313	22.521	---	---	43.927	---	---	---	607.214	---	---	---	5.550	---	---	---	
2024-04-29	12:50:24	37.00		31.560	---	---	---	22.500	---	---	---	1011.14	35.313	22.500	---	---	43.934	---	---	---	607.209	---	---	---	5.530	---	---	---	
2024-04-29	12:50:25	38.00		31.582	---	---	---	22.488	---	---	---	1011.15	35.308	22.488	---	---	43.931	---	---	---	607.185	---	---	---	5.528	---	---	---	
2024-04-29	12:50:26	39.00		31.578	---	---	---	22.495	---	---	---	1011.17	35.308	22.495	---	---	43.930	---	---	---	607.183	---	---	---	5.520	---	---	---	
2024-04-29	12:50:27	40.00		31.575	---	---	---	22.494	---	---	---	1011.15	35.302	22.494	---	---	43.931	---	---	---	607.173	---	---	---	5.530	---	---	---	
2024-04-29	12:50:28	41.00		31.580	---	---	---	22.501	---	---	---	1011.12	35.297	22.501	---	---	43.929	---	---	---	607.201	---	---	---	5.528	---	---	---	
2024-04-29	12:50:29	42.00		31.576	---	---	---	22.493	---	---	---	1011.10	35.279	22.493	---	---	43.931	---	---	---	607.212	---	---	---	5.534	---	---	---	
2024-04-29	12:50:30	43.00		31.590	---	---	---	22.501	---	---	---	1011.10	35.274	22.501	---	---	43.926	---	---	---	607.220	---	---	---	5.535	---	---	---	
2024-04-29	12:50:31	44.00		31.560	---	---	---	22.516	---	---	---	1011.13	35.274	22.516	---	---	43.930	---	---	---	607.188	---	---	---	5.524	---	---	---	
2024-04-29	12:50:32	45.00		31.570	---	---	---	22.509	---	---	---	1011.14	35.282	22.509	---	---	43.929	---	---	---	607.165	---	---	---	5.525	---	---	---	
2024-04-29	12:50:33	46.00		31.548	---	---	---	22.530	---	---	---	1011.14	35.282	22.530	---	---	43.930	---	---	---	607.139	---	---	---	5.535	---	---	---	
2024-04-29	12:50:34	47.00		31.592	---	---	---	22.516	---	---	---	1011.13	35.264	22.516	---	---	43.923	---	---	---	607.133	---	---	---	5.536	---	---	---	
2024-04-29	12:50:35	48.00		31.578	---	---	---	22.530	---	---	---	1011.13	35.247	22.530	---	---	43.923	---	---	---	607.162	---	---	---	5.530	---	---	---	
2024-04-29	12:50:36	49.00		31.619	---	---	---	22.480	---	---	---	1011.16	35.219	22.480	---	---	43.924	---	---	---	607.127	---	---	---	5.528	---	---	---	
2024-04-29	12:50:37	50.00		31.575	---	---	---	22.521	---	---	---	1011.15	35.208	22.521	---	---	43.926	---	---	---	607.150	---	---	---	5.539	---	---	---	
2024-04-29	12:50:38	51.00		31.599	---	---	---	22.515	---	---	---	1011.11	35.198	22.515	---	---	43.921	---	---	---	607.117	---	---	---	5.551	---	---	---	
2024-04-29	12:50:39	52.00		31.591	---	---	---	22.530	---	---	---	1011.09	35.203	22.530	---	---	43.920	---	---	---	607.126	---	---	---	5.537	---	---	---	
2024-04-29	12:50:40	53.00		31.624	---	---	---	22.489	---	---	---	1011.09	35.203	22.489	---	---	43.921	---	---	---	607.079	---	---	---	5.528	---	---	---	
2024-04-29	12:50:41	54.00		31.613	---	---	---	22.502	---	---	---	1011.12	35.218	22.502	---	---	43.921	---	---	---	607.068	---	---	---	5.533	---	---	---	
2024-04-29	12:50:42	55.00		31.586	---	---	---	22.523	---	---	---	1011.12	35.224	22.523	---	---	43.923	---	---	---	607.054	---	---	---	5.546	---	---	---	
2024-04-29	12:50:43	56.00		31.595	---	---	---	22.530	---	---	---	1011.15	35.234	22.530	---	---	43.919	---	---	---	607.050	---	---	---	5.549	---	---	---	
2024-04-29	12:50:44	57.00		31.584	---	---	---	22.530	---	---	---	1011.16	35.234	22.530	---	---	43.922	---	---	---	607.033	---	---	---	5.535	---	---	---	
2024-04-29	12:50:45	58.00		31.602	---	---	---	22.530	---	---	---	1011.14	35.234	22.530	---	---	43.917	---	---	---	607.069	---	---	---	5.521	---	---	---	
2024-04-29	12:50:46	59.00		31.598	---	---	---	22.521	---	---	---	1011.10	35.234	22.521	---	---	43.920	---	---	---	607.035	---	---	---	5.521	---	---	---	
2024-04-29	12:50:47	60.00		31.620	---	---	---	22.506	---	---	---	1011.10	35.234	22.506	---	---	43.918	---	---	---	607.033	---	---	---	5.518	---	---	---	
2024-04-29	12:50:48	61.00		31.617	---	---	---	22.506	---	---	---	1011.13	35.234	22.506	---	---	43.919	---	---	---	607.001	---	---	---	5.540	---	---	---	
2024-04-29	12:50:49	62.00		31.626	---	---	---	22.508	---	---	---	1011.14	35.244	22.508	---	---	43.916	---	---	---	607.062	---	---	---	5.547	---	---	---	
2024-04-29	12:50:50	63.00		31.612	---	---	---	22.524	---	---	---	1011.11	35.249	22.524	---	---	43.916	---	---	---	607.029	---	---	---	5.543	---	---	---	
