Source DataFile                                                                                                                ,      DATE,     TIME,       Time__mSec,     PIF,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Cx    ,   TauQx , Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_RAT,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
-------------------------------------------------------------------------------------------------------------------------------,----------,---------,-----------------,--------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\PICO_202111231330_SaAr1092_ca30000_data.csv                                                                       ,2021/11/23, 13:41:32,    1637689292406, -607.79,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.367,   562.030,    940.560,    378.530,  0.4025,  0.6735,   256.94,  0.0170,     0.000,    7.436,  0.000,     1146,  0.000,     2272,  0.000,    16106, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.557,   179.57,   279.60,  0.850,       2.88,    0.000,    600.00,  264.02,   0.084,     0.0,     0.0,     0.0,     0.0,    2166,    1.8220,
C:\LIFT\DATA\PICO_202111231330_SaAr1092_ca30000_data.csv                                                                       ,2021/11/23, 13:41:35,    1637689295336, -605.76,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.883,   597.150,    908.760,    311.610,  0.3429,  0.5218,   296.27,  0.0840,     0.000,    6.578,  0.000,     1379,  0.000,     2316,  0.000,    21788, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.845,   129.98,   239.80,  0.894,       2.74,    0.000,    600.00,  288.96,   0.000,     0.0,     0.0,     0.0,     0.0,    3312,    2.0000,
C:\LIFT\DATA\PICO_202111231330_SaAr1092_ca30000_data.csv                                                                       ,2021/11/23, 13:44:37,    1637689477406, -599.35,     0.0000,      0.0000,  NO DATA,    '10000,    20.00,    0.00,    0.00,    0.00,    0.00,    0.00,      3.188,   752.680,    996.620,    243.940,  0.2448,  0.3241,   303.02,  0.0000,     0.000,    2.693,  0.000,     2089,  0.000,     4064,  0.000,    17352, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.824,    61.66,   112.47,  0.943,       2.75,    0.000,    600.00,  199.98,   0.033,     0.0,     0.0,     0.0,     0.0,    6443,    1.5440,
C:\LIFT\DATA\PICO_202111231330_SaAr1092_ca30000_data.csv                                                                       ,2021/11/23, 13:44:40,    1637689480376, -607.88,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.793,   611.490,    934.970,    323.480,  0.3460,  0.5290,   294.75,  0.0020,     0.000,    5.255,  0.000,     1558,  0.000,     2841,  0.000,    22843, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.776,   108.74,   193.11,  0.908,       2.62,    0.000,    600.00,  278.68,   0.000,     0.0,     0.0,     0.0,     0.0,    4347,    1.9840,
C:\LIFT\DATA\PICO_202111231330_SaAr1092_ca30000_data.csv                                                                       ,2021/11/23, 13:47:42,    1637689662423, -586.95,     0.0000,      0.0000,  NO DATA,    '10000,    40.00,    0.00,    0.00,    0.00,    0.00,    0.00,      2.393,   846.550,   1034.350,    187.800,  0.1816,  0.2218,   308.47,  0.0000,     0.000,    2.775,  0.000,     2684,  0.000,     4703,  0.000,    14756, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.857,    62.06,   115.24,  0.940,       2.57,    0.000,    600.00,  130.59,   0.014,     0.0,     0.0,     0.0,     0.0,    5317,    1.6710,
C:\LIFT\DATA\PICO_202111231330_SaAr1092_ca30000_data.csv                                                                       ,2021/11/23, 13:47:45,    1637689665438, -607.54,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      2.427,   610.550,    939.760,    329.210,  0.3503,  0.5392,   298.05,  0.0160,     0.000,    5.566,  0.000,     1513,  0.000,     2641,  0.000,    22342, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.806,   114.54,   206.85,  0.882,       2.81,    0.000,    600.00,  325.74,   0.000,     0.0,     0.0,     0.0,     0.0,    4014,    2.0000,
C:\LIFT\DATA\PICO_202111231330_SaAr1092_ca30000_data.csv                                                                       ,2021/11/23, 13:50:47,    1637689847487, -560.04,     0.0000,      0.0000,  NO DATA,    '10000,    80.00,    0.00,    0.00,    0.00,    0.00,    0.00,      2.183,   928.540,   1054.820,    126.280,  0.1197,  0.1360,   302.83,  0.0000,     0.000,    2.373,  0.000,     3187,  0.000,     4027,  0.000,     9415, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.823,    76.37,   139.23,  0.891,       2.55,    0.000,    600.00,   99.46,   0.000,     0.0,     0.0,     0.0,     0.0,    3968,    2.0000,
C:\LIFT\DATA\PICO_202111231330_SaAr1092_ca30000_data.csv                                                                       ,2021/11/23, 13:50:50,    1637689850360, -608.89,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.831,   603.700,    933.650,    329.950,  0.3534,  0.5465,   288.05,  0.0000,     0.000,    6.197,  0.000,     1438,  0.000,     2717,  0.000,    24533, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.734,   117.37,   203.54,  0.745,       3.13,    0.000,    600.00,  272.64,   0.000,     0.0,     0.0,     0.0,     0.0,    3959,    1.9200,
C:\LIFT\DATA\PICO_202111231330_SaAr1092_ca30000_data.csv                                                                       ,2021/11/23, 13:53:52,    1637690032385, -496.53,     0.0000,      0.0000,  NO DATA,    '10000,   160.00,    0.00,    0.00,    0.00,    0.00,    0.00,      1.865,   986.130,   1051.550,     65.420,  0.0622,  0.0663,   242.21,  0.0000,     0.000,    4.706,  0.000,     3569,  0.000,    14555,  0.000,    24533, 0.0000,   300000,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.458,   102.96,   150.14,  0.813,       2.87,    0.000,    600.00,   38.94,   0.010,     0.0,     0.0,     0.0,     0.0,    3093,    1.5000,
