Source DataFile                                                     ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Alp4QA,   Tau4QA, Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_raw,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
--------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\PICO\PICO_202206131558_caloxy_MiSa1190_445_LL_data.csv , 2022/06/13, 16:02:48,    1655146968263,--Not Acquired--     ,--Not Acquired--     , -312.25,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     98.385,   366.010,   1349.950,    983.940,  0.7289,  2.6883,   340.70,  0.0000,     0.000,    0.000,  0.779,     2652,  0.201,    12575,  0.020,   417361,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.232,    36.77,    82.04,  0.165,       6.14,    0.000,    600.00, 1133.20,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\PICO_202206131558_caloxy_MiSa1190_445_LL_data.csv , 2022/06/13, 16:02:50,    1655146970366,--Not Acquired--     ,--Not Acquired--     , -310.00,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     95.880,   431.330,   1278.210,    846.880,  0.6626,  1.9634,   401.07,  0.0000,     0.000,    0.000,  0.740,     2445,  0.224,     8433,  0.036,    42100,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.415,    79.46,   191.92,  0.305,      14.61,    0.000,    600.00, 1222.39,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\PICO_202206131558_caloxy_MiSa1190_445_LL_data.csv , 2022/06/13, 16:05:51,    1655147151447,--Not Acquired--     ,--Not Acquired--     , -283.95,     0.0000,      0.0000,  NO DATA,    '10000,    40.00,    0.00,    0.00,    0.00,    0.00,    0.00,     50.678,   804.670,   1342.890,    538.220,  0.4008,  0.6689,   410.56,  0.0000,     0.000,    0.000,  0.241,      992,  0.696,     3115,  0.063,    64902,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.473,    62.03,   153.39,  0.206,      20.24,    0.000,    600.00,  565.16,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\PICO_202206131558_caloxy_MiSa1190_445_LL_data.csv , 2022/06/13, 16:05:53,    1655147153592,--Not Acquired--     ,--Not Acquired--     , -307.59,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     29.762,   403.080,   1215.660,    812.580,  0.6684,  2.0159,   425.13,  0.0000,     0.000,    0.000,  0.211,      547,  0.723,     3260,  0.067,    23590,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.560,    96.58,   247.27,  0.339,      15.17,    0.000,    600.00,  999.34,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\PICO_202206131558_caloxy_MiSa1190_445_LL_data.csv , 2022/06/13, 16:08:54,    1655147334704,--Not Acquired--     ,--Not Acquired--     , -248.56,     0.0000,      0.0000,  NO DATA,    '10000,    80.00,    0.00,    0.00,    0.00,    0.00,    0.00,     29.403,  1031.780,   1412.980,    381.200,  0.2698,  0.3695,   355.26,  0.0000,     0.000,    0.000,  0.335,      150,  0.593,     2539,  0.072,    41549,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.139,   102.88,   220.12,  0.142,      28.47,    0.000,    600.00,  376.84,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\PICO_202206131558_caloxy_MiSa1190_445_LL_data.csv , 2022/06/13, 16:08:56,    1655147336732,--Not Acquired--     ,--Not Acquired--     , -307.53,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     52.954,   411.980,   1181.620,    769.640,  0.6513,  1.8681,   403.69,  0.0000,     0.000,    0.000,  0.849,     2887,  0.072,     7181,  0.079,    18824,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.431,    92.25,   224.27,  0.256,      13.96,    0.000,    600.00,  976.05,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\PICO_202206131558_caloxy_MiSa1190_445_LL_data.csv , 2022/06/13, 16:11:57,    1655147517799,--Not Acquired--     ,--Not Acquired--     , -164.88,     0.0000,      0.0000,  NO DATA,    '10000,   160.00,    0.00,    0.00,    0.00,    0.00,    0.00,     14.493,  1182.550,   1419.660,    237.110,  0.1670,  0.2005,   200.79,  0.0000,     0.000,    0.000,  0.560,      787,  0.380,     3596,  0.060,    54561,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    1.209,   162.91,   197.00,  0.116,      46.45,    0.007,    600.00,  150.57,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\PICO_202206131558_caloxy_MiSa1190_445_LL_data.csv , 2022/06/13, 16:11:59,    1655147519809,--Not Acquired--     ,--Not Acquired--     , -307.03,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     62.527,   419.200,   1173.450,    754.250,  0.6428,  1.7993,   400.87,  0.0000,     0.000,    0.000,  0.191,      706,  0.695,     3296,  0.114,    16606,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.414,    95.89,   231.50,  0.347,      15.79,    0.000,    600.00,  917.59,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\PICO_202206131558_caloxy_MiSa1190_445_LL_data.csv , 2022/06/13, 16:15:01,    1655147700909,--Not Acquired--     ,--Not Acquired--     , -309.64,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     89.043,   378.880,   1261.530,    882.650,  0.6997,  2.3296,   355.99,  0.0000,     0.000,    0.000,  0.826,     2922,  0.155,    14460,  0.019,   474486,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.363,    34.15,    80.68,  0.192,      10.22,    0.000,    600.00, 1040.29,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\PICO_202206131558_caloxy_MiSa1190_445_LL_data.csv , 2022/06/13, 16:15:03,    1655147703036,--Not Acquired--     ,--Not Acquired--     , -308.26,     0.0000,      0.0000,  NO DATA,    '10000,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     77.909,   434.760,   1216.470,    781.710,  0.6426,  1.7980,   403.49,  0.0000,     0.000,    0.000,  0.777,     2632,  0.180,     8155,  0.044,    41247,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    2.430,    77.58,   188.53,  0.295,      14.23,    0.000,    600.00, 1072.71,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
