----,
DateTime:        , 2022/06/18, 13:48:56, 1655570936082,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,        -3068.63,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #10000,
Gain:,              1,       5, 
Sio:,    373.29,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,   1110.025,
    1,        0.8,    172.950,    1121.686,   1149.996,
    2,        3.3,    181.417,    1157.915,   1172.875,
    3,        5.8,    181.645,    1192.410,   1194.706,
    4,        8.3,    181.645,    1212.780,   1215.510,
    5,       10.8,    181.721,    1232.084,   1235.342,
    6,       13.3,    181.987,    1249.516,   1254.264,
    7,       15.8,    181.873,    1270.643,   1272.282,
    8,       18.3,    182.138,    1288.005,   1289.471,
    9,       20.8,    182.138,    1307.221,   1305.846,
   10,       23.3,    182.176,    1323.965,   1321.447,
   11,       25.8,    182.594,    1334.628,   1336.340,
   12,       28.3,    182.480,    1349.709,   1350.516,
   13,       30.8,    182.480,    1366.149,   1364.017,
   14,       33.3,    182.594,    1379.536,   1376.883,
   15,       35.8,    182.708,    1392.359,   1389.142,
   16,       38.3,    182.404,    1407.287,   1400.799,
   17,       40.8,    182.518,    1416.271,   1411.906,
   18,       43.3,    182.632,    1426.886,   1422.488,
   19,       45.8,    182.746,    1435.300,   1432.571,
   20,       48.3,    182.632,    1444.956,   1442.165,
   21,       50.8,    182.594,    1456.209,   1451.300,
   22,       53.3,    182.632,    1464.120,   1459.999,
   23,       55.8,    182.708,    1471.174,   1468.284,
   24,       58.3,    182.784,    1478.769,   1476.175,
   25,       60.8,    182.746,    1488.379,   1483.687,
   26,       63.3,    182.822,    1491.042,   1490.840,
   27,       65.8,    182.708,    1500.182,   1497.647,
