Source DataFile                                                        ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,   SNR_raw,        Fo,        Fm,     Fv/Fm,       Sig,         p,    Alp1QA,    Tau1QA,    Alp2QA,    Tau2QA,    Alp3QA,    Tau3QA,      CarQ,   tauCarQ,     P680Q,     Alpha,        Ek,      Pmax,
-----------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\PICO\20220818\PICO_202208181350_MiSa1306_445_200_data.csv , 2022/08/18, 13:50:26,    1660841425925,--Not Acquired--     ,--Not Acquired--     ,   159.39,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    38.5562,     0.9762,    695.37,    240.60,    508.88,    0.5272,    276.04,    0.3530,    0.4169,       576,    0.5093,      3738,    0.0738,     71304,     0.381,      7.15,  -0.01525,      1.96,     70.17,    137.59,
C:\LIFT\DATA\PICO\20220818\PICO_202208181350_MiSa1306_445_200_data.csv , 2022/08/18, 13:50:28,    1660841428281,--Not Acquired--     ,--Not Acquired--     ,   159.66,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   011  ,    17.5751,     0.9648,    757.48,    250.25,    532.85,    0.5304,    262.96,    0.2940,    0.4596,       491,    0.4665,      2827,    0.0740,     34244,     0.352,     12.09,  -0.00901,      1.80,    139.40,    250.34,
C:\LIFT\DATA\PICO\20220818\PICO_202208181350_MiSa1306_445_200_data.csv , 2022/08/18, 13:50:39,    1660841439575,--Not Acquired--     ,--Not Acquired--     ,   158.98,     0.0000,      0.0000,  NO DATA,    '10000,     10.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     8.7444,     0.9546,    656.70,    306.01,    620.93,    0.5072,    249.58,    0.0540,    0.4225,       593,    0.3825,      2836,    0.1951,     30514,     0.252,     18.63,  -0.00761,      1.54,     89.54,    137.61,
C:\LIFT\DATA\PICO\20220818\PICO_202208181350_MiSa1306_445_200_data.csv , 2022/08/18, 13:50:42,    1660841441845,--Not Acquired--     ,--Not Acquired--     ,   158.28,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   011  ,     3.2979,     0.9694,    788.53,    261.72,    567.74,    0.5390,    261.46,    0.2060,    0.3069,       491,    0.4980,      2687,    0.1951,     27189,     0.189,     22.17,  -0.01500,      1.72,     86.42,    148.84,
C:\LIFT\DATA\PICO\20220818\PICO_202208181350_MiSa1306_445_200_data.csv , 2022/08/18, 13:50:53,    1660841453122,--Not Acquired--     ,--Not Acquired--     ,   161.41,     0.0000,      0.0000,  NO DATA,    '10000,     20.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    15.0906,     0.9555,    586.48,    333.08,    639.22,    0.4789,    256.48,    0.0000,    0.3855,       584,    0.3767,      2804,    0.2378,     28894,     0.193,     22.21,  -0.00904,      1.54,     79.42,    122.66,
C:\LIFT\DATA\PICO\20220818\PICO_202208181350_MiSa1306_445_200_data.csv , 2022/08/18, 13:50:55,    1660841455397,--Not Acquired--     ,--Not Acquired--     ,   158.06,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   011  ,     6.6583,     0.9677,    821.91,    266.90,    595.53,    0.5518,    253.75,    0.1370,    0.2813,       516,    0.4524,      2715,    0.2663,     26274,     0.170,     25.65,  -0.01311,      1.62,     74.19,    120.27,
C:\LIFT\DATA\PICO\20220818\PICO_202208181350_MiSa1306_445_200_data.csv , 2022/08/18, 13:51:06,    1660841466681,--Not Acquired--     ,--Not Acquired--     ,   166.27,     0.0000,      0.0000,  NO DATA,    '10000,     40.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     2.7874,     0.9643,    599.64,    384.17,    641.22,    0.4009,    263.82,    0.0000,    0.4115,       818,    0.3735,      3533,    0.2150,     36203,     0.337,      9.29,  -0.01110,      1.59,     66.68,    105.95,
C:\LIFT\DATA\PICO\20220818\PICO_202208181350_MiSa1306_445_200_data.csv , 2022/08/18, 13:51:09,    1660841468998,--Not Acquired--     ,--Not Acquired--     ,   156.00,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   010  ,     7.8840,     0.9601,    662.21,    270.37,    623.22,    0.5662,    240.44,    0.0630,    0.2870,       516,    0.4173,      2664,    0.2956,     25516,     0.210,     22.75,  -0.00833,      1.49,     76.63,    113.93,
C:\LIFT\DATA\PICO\20220818\PICO_202208181350_MiSa1306_445_200_data.csv , 2022/08/18, 13:51:20,    1660841480300,--Not Acquired--     ,--Not Acquired--     ,   187.46,     0.0000,      0.0000,  NO DATA,    '10000,     80.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     3.3695,     0.9769,    339.41,    498.78,    675.07,    0.2611,    290.26,    0.0000,    0.5317,      1433,    0.2662,      6201,    0.2021,     34729,     0.362,      5.87,  -0.01056,      1.75,     60.66,    106.03,
C:\LIFT\DATA\PICO\20220818\PICO_202208181350_MiSa1306_445_200_data.csv , 2022/08/18, 13:51:22,    1660841482576,--Not Acquired--     ,--Not Acquired--     ,   156.01,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   010  ,    26.0028,     0.9899,    760.18,    271.32,    570.56,    0.5245,    286.24,    0.1500,    0.5160,      2839,    0.4324,     21661,    0.0516,     21661,     0.061,     21.23,  -0.02241,      1.84,     45.67,     84.19,
C:\LIFT\DATA\PICO\20220818\PICO_202208181350_MiSa1306_445_200_data.csv , 2022/08/18, 13:51:34,    1660841493893,--Not Acquired--     ,--Not Acquired--     ,   222.18,     0.0000,      0.0000,  NO DATA,    '10000,    160.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     4.4082,     0.9768,    291.93,    600.73,    721.14,    0.1670,    307.03,    0.0000,    0.5018,      1235,    0.3392,      5011,    0.1590,     25492,     0.302,      6.40,  -0.00682,      1.85,     84.86,    156.91,
C:\LIFT\DATA\PICO\20220818\PICO_202208181350_MiSa1306_445_200_data.csv , 2022/08/18, 13:51:36,    1660841496161,--Not Acquired--     ,--Not Acquired--     ,   155.68,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   011  ,    15.5634,     0.9499,    835.73,    271.73,    647.86,    0.5806,    234.66,    0.0000,    0.3437,       514,    0.3782,      2693,    0.2781,     24806,     0.210,     24.28,  -0.00465,      1.41,     87.45,    123.58,
C:\LIFT\DATA\PICO\20220818\PICO_202208181350_MiSa1306_445_200_data.csv , 2022/08/18, 13:51:47,    1660841507501,--Not Acquired--     ,--Not Acquired--     ,   312.20,     0.0000,      0.0000,  NO DATA,    '10000,    320.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     4.3970,     0.9679,    106.32,    691.52,    764.00,    0.0949,    281.80,    0.0000,    0.6158,      1184,    0.2973,      4197,    0.0869,     20505,     0.389,      4.95,  -0.00302,      1.70,    156.79,    266.08,
C:\LIFT\DATA\PICO\20220818\PICO_202208181350_MiSa1306_445_200_data.csv , 2022/08/18, 13:51:49,    1660841509764,--Not Acquired--     ,--Not Acquired--     ,   155.65,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   011  ,    16.6983,     0.9481,    789.67,    271.97,    650.93,    0.5822,    232.60,    0.0050,    0.3798,       537,    0.3586,      2778,    0.2616,     24995,     0.201,     25.20,  -0.00356,      1.40,     92.09,    129.26,
C:\LIFT\DATA\PICO\20220818\PICO_202208181350_MiSa1306_445_200_data.csv , 2022/08/18, 13:52:01,    1660841521060,--Not Acquired--     ,--Not Acquired--     ,   221.83,     0.0000,      0.0000,  NO DATA,    '10000,    160.00,      0.00,      0.00,      0.00,      0.00,      0.00,   121  ,     3.7695,     0.9788,    238.18,    593.05,    710.07,    0.1648,    312.20,    0.0000,    0.5541,      1436,    0.3127,      6095,    0.1332,     27363,     0.313,      5.99,  -0.00756,      1.88,     83.81,    157.57,
C:\LIFT\DATA\PICO\20220818\PICO_202208181350_MiSa1306_445_200_data.csv , 2022/08/18, 13:52:03,    1660841523362,--Not Acquired--     ,--Not Acquired--     ,   155.45,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   011  ,    10.7746,     0.9608,    851.44,    268.14,    619.95,    0.5675,    249.17,    0.0740,    0.3201,       518,    0.4161,      2714,    0.2639,     24706,     0.174,     27.20,  -0.00998,      1.55,     82.99,    128.45,
C:\LIFT\DATA\PICO\20220818\PICO_202208181350_MiSa1306_445_200_data.csv , 2022/08/18, 13:52:14,    1660841534677,--Not Acquired--     ,--Not Acquired--     ,   184.72,     0.0000,      0.0000,  NO DATA,    '10000,     80.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     3.1193,     0.9754,    468.54,    485.30,    662.44,    0.2674,    289.51,    0.0000,    0.5165,      1308,    0.2962,      5457,    0.1873,     36152,     0.346,      6.41,  -0.01174,      1.74,     63.30,    110.36,
C:\LIFT\DATA\PICO\20220818\PICO_202208181350_MiSa1306_445_200_data.csv , 2022/08/18, 13:52:17,    1660841536990,--Not Acquired--     ,--Not Acquired--     ,   156.72,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   010  ,    12.8911,     0.9631,    810.86,    264.46,    602.70,    0.5612,    250.40,    0.1120,    0.3118,       515,    0.4540,      2670,    0.2342,     25311,     0.190,     24.45,  -0.01115,      1.58,     87.17,    137.80,
C:\LIFT\DATA\PICO\20220818\PICO_202208181350_MiSa1306_445_200_data.csv , 2022/08/18, 13:52:28,    1660841548299,--Not Acquired--     ,--Not Acquired--     ,   167.31,     0.0000,      0.0000,  NO DATA,    '10000,     40.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     3.3400,     0.9632,    630.07,    357.93,    624.25,    0.4266,    258.23,    0.0600,    0.4368,       784,    0.3998,      3197,    0.1634,     41702,     0.407,      8.75,  -0.01133,      1.59,     74.55,    118.89,
C:\LIFT\DATA\PICO\20220818\PICO_202208181350_MiSa1306_445_200_data.csv , 2022/08/18, 13:52:30,    1660841550595,--Not Acquired--     ,--Not Acquired--     ,   158.31,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   010  ,     4.5887,     0.9708,    714.26,    258.15,    560.45,    0.5394,    263.93,    0.2300,    0.3189,       524,    0.5206,      2659,    0.1605,     27527,     0.184,     22.73,  -0.01541,      1.76,     96.63,    169.74,
C:\LIFT\DATA\PICO\20220818\PICO_202208181350_MiSa1306_445_200_data.csv , 2022/08/18, 13:52:42,    1660841561916,--Not Acquired--     ,--Not Acquired--     ,   163.29,     0.0000,      0.0000,  NO DATA,    '10000,     20.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     3.9184,     0.9634,    744.21,    315.43,    610.47,    0.4833,    261.88,    0.0900,    0.3873,       651,    0.4424,      2847,    0.1704,     34211,     0.288,     14.24,  -0.01215,      1.64,     83.55,    136.85,
