Source DataFile                                                  ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,        Fo,        Fm,     Fv/Fm,       Sig,         p,    Alp1QA,    Tau1QA,    Alp2QA,    Tau2QA,    Alp3QA,    Tau3QA,   alpCarQ,   tauCarQ,  alpP680Q,     Alpha,        Ek,      Pmax,
-----------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\PICO\PICO_202404231235_caloxy_MiSa2290_445_data.csv , 2024/04/23, 12:38:49,    1713886729634,--Not Acquired--     ,--Not Acquired--     ,   148.31,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   122  ,   271.1450,     0.9755,    242.04,    885.84,    0.7268,    201.04,    0.0420,    0.4106,       968,    0.5550,      4341,    0.0344,    126918,     1.416,      3.82,   0.00000,      1.23,    113.19,    139.73,
C:\LIFT\DATA\PICO\PICO_202404231235_caloxy_MiSa2290_445_data.csv , 2024/04/23, 12:38:52,    1713886731954,--Not Acquired--     ,--Not Acquired--     ,   149.40,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,   114.6500,     0.9798,    272.51,    836.57,    0.6743,    227.06,    0.0000,    0.3598,      1075,    0.6078,      3622,    0.0324,     50211,     1.138,      5.81,   0.00000,      1.37,    173.45,    237.18,
C:\LIFT\DATA\PICO\PICO_202404231235_caloxy_MiSa2290_445_data.csv , 2024/04/23, 12:41:53,    1713886912954,--Not Acquired--     ,--Not Acquired--     ,   152.87,     0.0000,      0.0000,  NO DATA,    '10000,     10.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    82.2139,     0.9811,    304.31,    855.65,    0.6444,    243.11,    0.0000,    0.2604,       925,    0.6970,      3009,    0.0426,     31298,     0.720,      8.81,   0.00000,      1.46,    186.10,    272.46,
C:\LIFT\DATA\PICO\PICO_202404231235_caloxy_MiSa2290_445_data.csv , 2024/04/23, 12:41:55,    1713886914929,--Not Acquired--     ,--Not Acquired--     ,   150.54,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    97.6098,     0.9769,    262.54,    826.13,    0.6822,    238.41,    0.0150,    0.2243,       541,    0.7318,      2761,    0.0439,     22379,     0.910,      7.31,   0.00000,      1.44,    222.05,    320.55,
C:\LIFT\DATA\PICO\PICO_202404231235_caloxy_MiSa2290_445_data.csv , 2024/04/23, 12:44:56,    1713887095843,--Not Acquired--     ,--Not Acquired--     ,   156.01,     0.0000,      0.0000,  NO DATA,    '10000,     20.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    69.6872,     0.9812,    313.54,    855.04,    0.6333,    243.54,    0.0000,    0.2649,       961,    0.6961,      2979,    0.0390,     39345,     0.561,     10.99,   0.00000,      1.47,    176.61,    259.03,
C:\LIFT\DATA\PICO\PICO_202404231235_caloxy_MiSa2290_445_data.csv , 2024/04/23, 12:44:58,    1713887097809,--Not Acquired--     ,--Not Acquired--     ,   149.27,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    59.6534,     0.9778,    264.14,    822.66,    0.6789,    240.13,    0.0430,    0.2157,       515,    0.7441,      2753,    0.0402,     22943,     1.008,      6.55,   0.00000,      1.47,    221.68,    325.69,
C:\LIFT\DATA\PICO\PICO_202404231235_caloxy_MiSa2290_445_data.csv , 2024/04/23, 12:47:58,    1713887278745,--Not Acquired--     ,--Not Acquired--     ,   163.41,     0.0000,      0.0000,  NO DATA,    '10000,     40.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,   203.0850,     0.9823,    347.89,    851.54,    0.5915,    244.30,    0.0000,    0.2994,      1166,    0.6646,      3071,    0.0360,     75788,     0.372,     15.69,   0.00000,      1.47,    132.82,    195.42,
C:\LIFT\DATA\PICO\PICO_202404231235_caloxy_MiSa2290_445_data.csv , 2024/04/23, 12:48:01,    1713887280775,--Not Acquired--     ,--Not Acquired--     ,   149.29,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    70.8517,     0.9786,    260.70,    807.22,    0.6770,    240.22,    0.0600,    0.2157,       507,    0.7504,      2901,    0.0339,     28653,     0.913,      6.84,   0.00000,      1.48,    208.48,    308.44,
C:\LIFT\DATA\PICO\PICO_202404231235_caloxy_MiSa2290_445_data.csv , 2024/04/23, 12:51:01,    1713887461742,--Not Acquired--     ,--Not Acquired--     ,   188.21,     0.0000,      0.0000,  NO DATA,    '10000,     80.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,   167.7010,     0.9794,    529.33,    902.03,    0.4132,    221.25,    0.0000,    0.3344,      1210,    0.6162,      3058,    0.0494,     87294,     0.184,     28.66,   0.00000,      1.33,    113.63,    151.43,
