----,
DateTime:        , 2024/04/25, 09:53:21, 1714049601598,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,          151.33,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #10000,
Gain:,             10,      25, 
SNR_raw:,    2387.83,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    243.614,
    1,        0.8,    254.550,     209.897,    235.738,
    2,        3.3,    273.574,     226.823,    238.209,
    3,        5.8,    274.006,     242.547,    247.597,
    4,        8.3,    274.253,     255.528,    260.764,
    5,       10.8,    274.145,     270.037,    275.896,
    6,       13.3,    274.021,     285.705,    291.922,
    7,       15.8,    274.453,     301.798,    308.200,
    8,       18.3,    274.468,     318.140,    324.417,
    9,       20.8,    274.515,     334.406,    340.365,
   10,       23.3,    274.777,     350.791,    355.919,
   11,       25.8,    274.746,     366.736,    371.041,
   12,       28.3,    274.854,     382.382,    385.685,
   13,       30.8,    274.700,     397.814,    399.853,
   14,       33.3,    274.808,     412.359,    413.517,
   15,       35.8,    274.946,     426.917,    426.685,
   16,       38.3,    274.869,     440.971,    439.380,
   17,       40.8,    275.070,     454.173,    451.587,
   18,       43.3,    275.162,     466.631,    463.333,
   19,       45.8,    275.116,     478.777,    474.636,
   20,       48.3,    275.054,     490.228,    485.504,
   21,       50.8,    275.208,     501.399,    495.931,
   22,       53.3,    275.316,     511.046,    505.939,
   23,       55.8,    275.270,     521.340,    515.554,
   24,       58.3,    275.239,     530.518,    524.780,
   25,       60.8,    275.193,     539.510,    533.631,
   26,       63.3,    275.301,     547.544,    542.104,
   27,       65.8,    275.378,     555.488,    550.219,
   28,       68.3,    275.178,     563.125,    558.012,
   29,       70.8,    275.316,     570.033,    565.458,
