----,
DateTime:        , 2024/04/25, 14:35:00, 1714066499819,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,          -41.20,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #10000,
Gain:,              5,      10, 
SNR_raw:,     896.35,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    205.183,
    1,        0.8,    255.969,     204.049,    208.889,
    2,        3.3,    273.327,     214.587,    214.465,
    3,        5.8,    273.796,     224.439,    221.072,
    4,        8.3,    273.757,     230.754,    228.219,
    5,       10.8,    273.600,     236.075,    235.599,
    6,       13.3,    273.757,     243.173,    243.027,
    7,       15.8,    273.835,     250.481,    250.391,
    8,       18.3,    274.070,     257.199,    257.624,
    9,       20.8,    274.343,     263.941,    264.686,
   10,       23.3,    274.265,     270.652,    271.556,
   11,       25.8,    274.421,     277.203,    278.221,
   12,       28.3,    274.421,     283.543,    284.676,
   13,       30.8,    274.421,     289.884,    290.921,
   14,       33.3,    274.343,     296.455,    296.958,
   15,       35.8,    274.500,     302.333,    302.791,
   16,       38.3,    274.421,     308.031,    308.424,
   17,       40.8,    274.656,     313.594,    313.863,
   18,       43.3,    274.617,     318.955,    319.115,
   19,       45.8,    274.656,     324.152,    324.185,
   20,       48.3,    274.773,     329.400,    329.077,
   21,       50.8,    275.047,     333.435,    333.798,
   22,       53.3,    274.890,     338.718,    338.356,
   23,       55.8,    274.851,     343.569,    342.754,
   24,       58.3,    274.890,     347.376,    346.995,
   25,       60.8,    274.773,     351.746,    351.088,
   26,       63.3,    275.281,     355.238,    355.031,
   27,       65.8,    274.773,     359.752,    358.840,
   28,       68.3,    274.734,     363.516,    362.512,
   29,       70.8,    274.969,     366.698,    366.050,
