----,
DateTime:        , 2024/04/25, 16:09:42, 1714072182193,
RFID_EPC:        ,--Not Acquired--,
RFID_UserData:   ,--Not Acquired--,
Barcode:         ,--Not Acquired--,
PIF:,          -47.01,
PARs:,            0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Light:,           0.0,     0.0,     0.0,     0.0,     0.0,     0.0,
Cycles:,            1,
                    1,      99,     100,     227,
Lamps:,        #10000,
Gain:,              5,      10, 
SNR_raw:,    1602.81,
Position:,        0.0,              0.0,   NoData,
DataPt,      Time(us),   EX,         EM,       Fit,
==========,==========,==========,==========,=========,
    0,        0.0,      0.000,       0.000,    516.388,
    1,        0.8,    255.537,     528.270,    534.715,
    2,        3.3,    273.364,     572.727,    569.093,
    3,        5.8,    273.520,     614.262,    611.411,
    4,        8.3,    273.715,     655.327,    657.016,
    5,       10.8,    273.598,     697.640,    703.485,
    6,       13.3,    273.871,     740.834,    749.570,
    7,       15.8,    273.871,     784.942,    794.633,
    8,       18.3,    273.988,     828.477,    838.344,
    9,       20.8,    274.105,     872.048,    880.547,
   10,       23.3,    274.261,     913.920,    921.172,
   11,       25.8,    274.222,     955.039,    960.196,
   12,       28.3,    274.066,     995.354,    997.614,
   13,       30.8,    274.456,    1032.999,   1033.434,
   14,       33.3,    274.144,    1069.922,   1067.713,
   15,       35.8,    274.612,    1104.295,   1100.449,
   16,       38.3,    274.339,    1138.273,   1131.721,
   17,       40.8,    274.495,    1168.956,   1161.536,
   18,       43.3,    274.612,    1199.120,   1189.947,
   19,       45.8,    274.300,    1227.534,   1217.015,
   20,       48.3,    274.573,    1254.066,   1242.744,
   21,       50.8,    274.651,    1277.886,   1267.207,
   22,       53.3,    274.924,    1300.914,   1290.442,
   23,       55.8,    274.885,    1322.781,   1312.520,
   24,       58.3,    274.768,    1344.453,   1333.479,
   25,       60.8,    274.729,    1363.426,   1353.350,
   26,       63.3,    274.963,    1380.304,   1372.161,
   27,       65.8,    274.885,    1398.521,   1389.992,
   28,       68.3,    274.729,    1415.113,   1406.881,
