Source DataFile                                              ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,        Fo,        Fm,     Fv/Fm,       Sig,         p,    Alp1QA,    Tau1QA,    Alp2QA,    Tau2QA,    Alp3QA,    Tau3QA,   alpCarQ,   tauCarQ,  alpP680Q,     Alpha,        Ek,      Pmax,
-------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,
C:\LIFT\DATA\PICO\PICO_202404291135_caloxy_MiSa2282_data.csv , 2024/04/29, 11:42:25,    1714401745395,--Not Acquired--     ,--Not Acquired--     ,   -54.43,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    47.6643,     0.9617,    373.76,    847.15,    0.5588,    162.98,    0.0370,    0.4964,       885,    0.4466,      7574,    0.0570,    136764,     0.697,      3.24,   0.00000,      1.00,     86.26,     86.26,
C:\LIFT\DATA\PICO\PICO_202404291135_caloxy_MiSa2282_data.csv , 2024/04/29, 11:42:27,    1714401747652,--Not Acquired--     ,--Not Acquired--     ,   -52.36,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    12.2151,     0.9700,    409.75,    800.17,    0.4879,    188.83,    0.0090,    0.4484,       883,    0.4636,      5355,    0.0880,     29221,     0.469,      6.56,   0.00000,      1.14,    160.93,    183.63,
C:\LIFT\DATA\PICO\PICO_202404291135_caloxy_MiSa2282_data.csv , 2024/04/29, 11:45:28,    1714401928656,--Not Acquired--     ,--Not Acquired--     ,   -50.99,     0.0000,      0.0000,  NO DATA,    '10000,     10.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    16.6756,     0.9743,    472.66,    840.71,    0.4378,    197.77,    0.0000,    0.3900,       929,    0.3663,      4303,    0.2438,     15945,     0.324,     10.00,   0.00000,      1.19,    144.15,    171.68,
C:\LIFT\DATA\PICO\PICO_202404291135_caloxy_MiSa2282_data.csv , 2024/04/29, 11:45:30,    1714401930620,--Not Acquired--     ,--Not Acquired--     ,   -55.91,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     8.6841,     0.9695,    412.95,    808.67,    0.4893,    190.26,    0.0000,    0.4329,       848,    0.4258,      4664,    0.1413,     19075,     0.347,      8.50,   0.00000,      1.15,    172.91,    198.11,
C:\LIFT\DATA\PICO\PICO_202404291135_caloxy_MiSa2282_data.csv , 2024/04/29, 11:48:31,    1714402111578,--Not Acquired--     ,--Not Acquired--     ,   -47.35,     0.0000,      0.0000,  NO DATA,    '10000,     20.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    50.7093,     0.9750,    487.28,    850.78,    0.4273,    199.91,    0.0000,    0.4046,       962,    0.3470,      4529,    0.2485,     15491,     0.227,     14.26,   0.00000,      1.20,    142.99,    172.14,
C:\LIFT\DATA\PICO\PICO_202404291135_caloxy_MiSa2282_data.csv , 2024/04/29, 11:48:33,    1714402113505,--Not Acquired--     ,--Not Acquired--     ,   -53.97,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     9.6462,     0.9696,    412.93,    811.18,    0.4910,    189.67,    0.0000,    0.4346,       864,    0.4222,      4635,    0.1432,     18206,     0.337,      8.51,   0.00000,      1.14,    177.27,    202.48,
C:\LIFT\DATA\PICO\PICO_202404291135_caloxy_MiSa2282_data.csv , 2024/04/29, 11:51:34,    1714402294416,--Not Acquired--     ,--Not Acquired--     ,   -39.17,     0.0000,      0.0000,  NO DATA,    '10000,     40.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    62.6042,     0.9760,    519.82,    856.31,    0.3930,    202.46,    0.0000,    0.4052,      1011,    0.4130,      4777,    0.1817,     17821,     0.192,     16.75,   0.00000,      1.22,    145.91,    177.90,
C:\LIFT\DATA\PICO\PICO_202404291135_caloxy_MiSa2282_data.csv , 2024/04/29, 11:51:36,    1714402296349,--Not Acquired--     ,--Not Acquired--     ,   -50.80,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,     8.5650,     0.9687,    411.97,    809.95,    0.4914,    189.59,    0.0000,    0.4416,       841,    0.4349,      4659,    0.1234,     18723,     0.348,      8.54,   0.00000,      1.14,    186.02,    212.39,
C:\LIFT\DATA\PICO\PICO_202404291135_caloxy_MiSa2282_data.csv , 2024/04/29, 11:54:37,    1714402477289,--Not Acquired--     ,--Not Acquired--     ,   -15.15,     0.0000,      0.0000,  NO DATA,    '10000,     80.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    69.7276,     0.9770,    600.39,    856.07,    0.2987,    199.38,    0.0000,    0.4979,      1357,    0.4370,      5664,    0.0651,     43168,     0.183,     15.88,   0.00000,      1.20,    139.73,    167.78,
C:\LIFT\DATA\PICO\PICO_202404291135_caloxy_MiSa2282_data.csv , 2024/04/29, 11:54:39,    1714402479291,--Not Acquired--     ,--Not Acquired--     ,   -52.28,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    10.4036,     0.9676,    408.29,    795.19,    0.4866,    187.82,    0.0000,    0.4468,       825,    0.4595,      4849,    0.0936,     21259,     0.343,      8.39,   0.00000,      1.13,    192.74,    218.01,
C:\LIFT\DATA\PICO\PICO_202404291135_caloxy_MiSa2282_data.csv , 2024/04/29, 11:57:40,    1714402660239,--Not Acquired--     ,--Not Acquired--     ,     6.16,     0.0000,      0.0000,  NO DATA,    '10000,    120.00,      0.00,      0.00,      0.00,      0.00,      0.00,   121  ,    50.0014,     0.9767,    644.24,    854.92,    0.2464,    196.75,    0.0000,    0.5502,      1500,    0.3956,      5717,    0.0542,     54892,     0.158,     17.49,   0.00000,      1.18,    139.27,    165.02,
C:\LIFT\DATA\PICO\PICO_202404291135_caloxy_MiSa2282_data.csv , 2024/04/29, 11:57:42,    1714402662419,--Not Acquired--     ,--Not Acquired--     ,   -54.08,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    15.6057,     0.9675,    408.16,    786.53,    0.4811,    185.88,    0.0000,    0.4421,       835,    0.4612,      4871,    0.0967,     20527,     0.297,      9.55,   0.00000,      1.12,    194.20,    217.38,
C:\LIFT\DATA\PICO\PICO_202404291135_caloxy_MiSa2282_data.csv , 2024/04/29, 12:00:43,    1714402843400,--Not Acquired--     ,--Not Acquired--     ,    33.51,     0.0000,      0.0000,  NO DATA,    '10000,    160.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    35.1358,     0.9746,    679.26,    850.75,    0.2016,    189.57,    0.0000,    0.5665,      1520,    0.3856,      5312,    0.0479,     53673,     0.165,     16.10,   0.00000,      1.14,    159.91,    182.56,
C:\LIFT\DATA\PICO\PICO_202404291135_caloxy_MiSa2282_data.csv , 2024/04/29, 12:00:45,    1714402845384,--Not Acquired--     ,--Not Acquired--     ,   -50.35,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    24.5053,     0.9675,    407.43,    776.44,    0.4753,    184.49,    0.0000,    0.4358,       840,    0.4590,      4840,    0.1051,     19640,     0.236,     12.10,   0.00000,      1.11,    193.48,    214.96,
C:\LIFT\DATA\PICO\PICO_202404291135_caloxy_MiSa2282_data.csv , 2024/04/29, 12:03:46,    1714403026308,--Not Acquired--     ,--Not Acquired--     ,   -52.65,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    38.3161,     0.9618,    381.65,    800.91,    0.5235,    168.45,    0.0000,    0.4906,       878,    0.4553,      7153,    0.0541,    129766,     0.565,      4.17,   0.00000,      1.02,     91.82,     93.39,
C:\LIFT\DATA\PICO\PICO_202404291135_caloxy_MiSa2282_data.csv , 2024/04/29, 12:03:48,    1714403028363,--Not Acquired--     ,--Not Acquired--     ,   -52.24,     0.0000,      0.0000,  NO DATA,    '10000,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   111  ,    13.3405,     0.9689,    412.66,    776.20,    0.4684,    187.91,    0.0000,    0.4554,       882,    0.4629,      5332,    0.0817,     29481,     0.415,      7.08,   0.00000,      1.13,    167.45,    189.49,
