
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.316	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	umol/l	OFF	XB7-534-211	1	ON External	20.000	ON	1013	8.000	15%	400x	2	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	-0.200	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.272	22.106	1003	100.000	20.950	53.391	22.874	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.200	
Data	Smoothing:	3	
Date:	2022-05-04	
			 	Oxygen				Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
2022-05-04	11:01:04	0.00		264.65	---	---	---	20.871	---	---	---	1017.91	33.787	20.871	---	---	22.936	---	---	---	269.623	---	---	---	5.546	---	---	---	
2022-05-04	11:01:05	1.00		264.75	---	---	---	20.879	---	---	---	1017.94	33.787	20.879	---	---	22.929	---	---	---	269.597	---	---	---	5.543	---	---	---	
2022-05-04	11:01:06	2.00		264.58	---	---	---	20.886	---	---	---	1017.93	33.787	20.886	---	---	22.934	---	---	---	269.601	---	---	---	5.539	---	---	---	
2022-05-04	11:01:07	3.00		264.51	---	---	---	20.872	---	---	---	1017.90	33.787	20.872	---	---	22.942	---	---	---	269.608	---	---	---	5.548	---	---	---	
2022-05-04	11:01:08	4.00		264.72	---	---	---	20.863	---	---	---	1017.91	33.787	20.863	---	---	22.935	---	---	---	269.615	---	---	---	5.530	---	---	---	
2022-05-04	11:01:09	5.00		264.90	---	---	---	20.857	---	---	---	1017.92	33.787	20.857	---	---	22.929	---	---	---	269.584	---	---	---	5.523	---	---	---	
2022-05-04	11:01:10	6.00		264.92	---	---	---	20.857	---	---	---	1017.93	33.787	20.857	---	---	22.929	---	---	---	269.586	---	---	---	5.532	---	---	---	
2022-05-04	11:01:11	7.00		264.64	---	---	---	20.871	---	---	---	1017.95	33.787	20.871	---	---	22.936	---	---	---	269.641	---	---	---	5.540	---	---	---	
2022-05-04	11:01:12	8.00		264.60	---	---	---	20.865	---	---	---	1017.94	33.787	20.865	---	---	22.940	---	---	---	269.646	---	---	---	5.541	---	---	---	
2022-05-04	11:01:13	9.00		264.64	---	---	---	20.872	---	---	---	1017.96	33.800	20.872	---	---	22.936	---	---	---	269.645	---	---	---	5.527	---	---	---	
2022-05-04	11:01:14	10.00		264.55	---	---	---	20.886	---	---	---	1017.92	33.812	20.886	---	---	22.935	---	---	---	269.609	---	---	---	5.538	---	---	---	
2022-05-04	11:01:15	11.00		264.47	---	---	---	20.893	---	---	---	1017.89	33.825	20.893	---	---	22.937	---	---	---	269.658	---	---	---	5.542	---	---	---	
2022-05-04	11:01:16	12.00		264.47	---	---	---	20.886	---	---	---	1017.89	33.812	20.886	---	---	22.939	---	---	---	269.724	---	---	---	5.536	---	---	---	
2022-05-04	11:01:17	13.00		264.41	---	---	---	20.873	---	---	---	1017.89	33.800	20.873	---	---	22.946	---	---	---	269.765	---	---	---	5.536	---	---	---	
2022-05-04	11:01:18	14.00		264.45	---	---	---	20.858	---	---	---	1017.91	33.787	20.858	---	---	22.949	---	---	---	269.762	---	---	---	5.544	---	---	---	
2022-05-04	11:01:19	15.00		264.42	---	---	---	20.859	---	---	---	1017.91	33.787	20.859	---	---	22.950	---	---	---	269.740	---	---	---	5.558	---	---	---	
2022-05-04	11:01:20	16.00		264.27	---	---	---	20.859	---	---	---	1017.92	33.787	20.859	---	---	22.957	---	---	---	269.716	---	---	---	5.541	---	---	---	
2022-05-04	11:01:21	17.00		264.29	---	---	---	20.865	---	---	---	1017.94	33.787	20.865	---	---	22.954	---	---	---	269.679	---	---	---	5.534	---	---	---	
2022-05-04	11:01:22	18.00		264.11	---	---	---	20.871	---	---	---	1017.91	33.787	20.871	---	---	22.960	---	---	---	269.641	---	---	---	5.519	---	---	---	
2022-05-04	11:01:23	19.00		264.31	---	---	---	20.870	---	---	---	1017.88	33.787	20.870	---	---	22.951	---	---	---	269.659	---	---	---	5.513	---	---	---	
2022-05-04	11:01:24	20.00		264.22	---	---	---	20.872	---	---	---	1017.89	33.787	20.872	---	---	22.955	---	---	---	269.694	---	---	---	5.506	---	---	---	
2022-05-04	11:01:25	21.00		264.19	---	---	---	20.872	---	---	---	1017.93	33.787	20.872	---	---	22.956	---	---	---	269.713	---	---	---	5.501	---	---	---	
2022-05-04	11:01:26	22.00		264.28	---	---	---	20.865	---	---	---	1017.95	33.787	20.865	---	---	22.954	---	---	---	269.718	---	---	---	5.516	---	---	---	
2022-05-04	11:01:27	23.00		264.18	---	---	---	20.872	---	---	---	1017.90	33.787	20.872	---	---	22.957	---	---	---	269.740	---	---	---	5.522	---	---	---	
2022-05-04	11:01:28	24.00		264.25	---	---	---	20.879	---	---	---	1017.86	33.787	20.879	---	---	22.951	---	---	---	269.833	---	---	---	5.528	---	---	---	
2022-05-04	11:01:29	25.00		264.37	---	---	---	20.865	---	---	---	1017.86	33.787	20.865	---	---	22.951	---	---	---	269.855	---	---	---	5.526	---	---	---	
2022-05-04	11:01:30	26.00		264.35	---	---	---	20.871	---	---	---	1017.89	33.787	20.871	---	---	22.949	---	---	---	269.843	---	---	---	5.517	---	---	---	
2022-05-04	11:01:31	27.00		264.24	---	---	---	20.865	---	---	---	1017.93	33.787	20.865	---	---	22.956	---	---	---	269.798	---	---	---	5.532	---	---	---	
2022-05-04	11:01:32	28.00		263.96	---	---	---	20.886	---	---	---	1017.90	33.787	20.886	---	---	22.962	---	---	---	269.823	---	---	---	5.536	---	---	---	
2022-05-04	11:01:33	29.00		264.23	---	---	---	20.872	---	---	---	1017.91	33.787	20.872	---	---	22.954	---	---	---	269.835	---	---	---	5.545	---	---	---	
2022-05-04	11:01:34	30.00		264.47	---	---	---	20.857	---	---	---	1017.89	33.787	20.857	---	---	22.948	---	---	---	269.815	---	---	---	5.533	---	---	---	
2022-05-04	11:01:35	31.00		264.56	---	---	---	20.843	---	---	---	1017.90	33.787	20.843	---	---	22.949	---	---	---	269.805	---	---	---	5.530	---	---	---	
2022-05-04	11:01:36	32.00		264.41	---	---	---	20.836	---	---	---	1017.90	33.787	20.836	---	---	22.958	---	---	---	269.824	---	---	---	5.527	---	---	---	
2022-05-04	11:01:37	33.00		264.18	---	---	---	20.844	---	---	---	1017.89	33.787	20.844	---	---	22.966	---	---	---	269.801	---	---	---	5.521	---	---	---	
2022-05-04	11:01:38	34.00		264.08	---	---	---	20.851	---	---	---	1017.92	33.787	20.851	---	---	22.968	---	---	---	269.795	---	---	---	5.508	---	---	---	
2022-05-04	11:01:39	35.00		264.06	---	---	---	20.865	---	---	---	1017.94	33.787	20.865	---	---	22.964	---	---	---	269.840	---	---	---	5.509	---	---	---	
2022-05-04	11:01:40	36.00		264.07	---	---	---	20.872	---	---	---	1017.93	33.777	20.872	---	---	22.961	---	---	---	269.896	---	---	---	5.514	---	---	---	
2022-05-04	11:01:41	37.00		264.10	---	---	---	20.879	---	---	---	1017.91	33.766	20.879	---	---	22.958	---	---	---	269.872	---	---	---	5.526	---	---	---	
2022-05-04	11:01:42	38.00		263.92	---	---	---	20.880	---	---	---	1017.88	33.756	20.880	---	---	22.966	---	---	---	269.833	---	---	---	5.526	---	---	---	
2022-05-04	11:01:43	39.00		264.08	---	---	---	20.873	---	---	---	1017.91	33.756	20.873	---	---	22.961	---	---	---	269.834	---	---	---	5.526	---	---	---	
2022-05-04	11:01:44	40.00		263.86	---	---	---	20.881	---	---	---	1017.89	33.756	20.881	---	---	22.968	---	---	---	269.837	---	---	---	5.520	---	---	---	
2022-05-04	11:01:45	41.00		263.90	---	---	---	20.873	---	---	---	1017.92	33.756	20.873	---	---	22.969	---	---	---	269.819	---	---	---	5.529	---	---	---	
2022-05-04	11:01:46	42.00		263.76	---	---	---	20.887	---	---	---	1017.93	33.756	20.887	---	---	22.970	---	---	---	269.849	---	---	---	5.525	---	---	---	
2022-05-04	11:01:47	43.00		264.05	---	---	---	20.866	---	---	---	1017.94	33.756	20.866	---	---	22.964	---	---	---	269.885	---	---	---	5.530	---	---	---	
2022-05-04	11:01:48	44.00		264.20	---	---	---	20.873	---	---	---	1017.93	33.756	20.873	---	---	22.955	---	---	---	269.905	---	---	---	5.522	---	---	---	
2022-05-04	11:01:49	45.00		264.15	---	---	---	20.865	---	---	---	1017.92	33.756	20.865	---	---	22.960	---	---	---	269.893	---	---	---	5.537	---	---	---	
2022-05-04	11:01:50	46.00		264.01	---	---	---	20.872	---	---	---	1017.95	33.746	20.872	---	---	22.964	---	---	---	269.887	---	---	---	5.531	---	---	---	
2022-05-04	11:01:51	47.00		263.85	---	---	---	20.863	---	---	---	1017.96	33.736	20.863	---	---	22.974	---	---	---	269.885	---	---	---	5.520	---	---	---	
2022-05-04	11:01:52	48.00		263.82	---	---	---	20.850	---	---	---	1017.91	33.726	20.850	---	---	22.979	---	---	---	269.897	---	---	---	5.510	---	---	---	
