
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.316	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Robust Oxygen Probe (normal range)	umol/l	OFF	XB7-534-211	1	ON External	20.000	ON	1013	8.000	15%	400x	2	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	-0.200	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	22.272	22.106	1003	100.000	20.950	53.391	22.874	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	-0.200	
Data	Smoothing:	3	
Date:	2022-05-13	
			 	Oxygen				Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
2022-05-13	18:33:52	0.00		262.02	---	---	---	20.826	---	---	---	1016.59	56.843	20.826	---	---	23.069	---	---	---	269.162	---	---	---	5.526	---	---	---	
2022-05-13	18:33:53	1.00		261.97	---	---	---	20.833	---	---	---	1016.55	56.843	20.833	---	---	23.069	---	---	---	269.167	---	---	---	5.526	---	---	---	
2022-05-13	18:33:54	2.00		262.22	---	---	---	20.834	---	---	---	1016.52	56.843	20.834	---	---	23.057	---	---	---	269.151	---	---	---	5.537	---	---	---	
2022-05-13	18:33:55	3.00		262.17	---	---	---	20.841	---	---	---	1016.48	56.843	20.841	---	---	23.056	---	---	---	269.206	---	---	---	5.559	---	---	---	
2022-05-13	18:33:56	4.00		262.31	---	---	---	20.827	---	---	---	1016.44	56.843	20.827	---	---	23.055	---	---	---	269.266	---	---	---	5.551	---	---	---	
2022-05-13	18:33:57	5.00		262.22	---	---	---	20.827	---	---	---	1016.43	56.833	20.827	---	---	23.059	---	---	---	269.296	---	---	---	5.555	---	---	---	
2022-05-13	18:33:58	6.00		262.42	---	---	---	20.820	---	---	---	1016.43	56.822	20.820	---	---	23.053	---	---	---	269.269	---	---	---	5.552	---	---	---	
2022-05-13	18:33:59	7.00		262.50	---	---	---	20.820	---	---	---	1016.43	56.812	20.820	---	---	23.049	---	---	---	269.270	---	---	---	5.554	---	---	---	
2022-05-13	18:34:00	8.00		262.48	---	---	---	20.814	---	---	---	1016.42	56.812	20.814	---	---	23.052	---	---	---	269.278	---	---	---	5.547	---	---	---	
2022-05-13	18:34:01	9.00		262.29	---	---	---	20.807	---	---	---	1016.43	56.812	20.807	---	---	23.062	---	---	---	269.279	---	---	---	5.545	---	---	---	
2022-05-13	18:34:02	10.00		262.11	---	---	---	20.821	---	---	---	1016.46	56.812	20.821	---	---	23.066	---	---	---	269.269	---	---	---	5.555	---	---	---	
